ID,Name,State,Network,-2,-4,-8,-20,-40
1214,Bevans Cabin,UT,SNTL,40,40,40,40,40
1215,Lasal Mountain-Lower,UT,SNTL,40,40,40,40,40
1216,Huntington Horse,UT,SNTL,40,40,40,40,40
1217,Rees Flat,UT,SNTL,40,40,40,40,40
1221,GBRC HQ,UT,SNTL,40,40,40,40,40
1222,GBRC Meadows,UT,SNTL,40,40,40,40,40
1223,Hobble Creek,UT,SNTL,40,40,40,40,40
1224,Mt Baldy,UT,SNTL,40,40,40,40,40
1225,Redden Mine Lwr,UT,SNTL,40,40,40,40,40
1226,Thistle Flat,UT,SNTL,40,40,40,40,40
1227,Upper Joes Valley,UT,SNTL,40,40,40,40,40
1228,Wrigley Creek,UT,SNTL,40,40,40,40,40
2125,Circleville,UT,SCAN,40,40,40,40,40
2126,Ephraim,UT,SCAN,40,40,40,40,40
2127,Holden,UT,SCAN,40,40,40,40,40
2128,Enterprise,UT,SCAN,40,40,40,40,40
2129,Milford,UT,SCAN,40,40,40,40,40
2130,Eastland,UT,SCAN,40,40,40,40,40
2131,Green River,UT,SCAN,40,40,40,40,40
2132,Price,UT,SCAN,40,40,40,40,40
2133,Morgan,UT,SCAN,40,40,40,40,40
2134,Mountain Home,UT,SCAN,40,40,40,40,40
2135,Blue Creek,UT,SCAN,40,40,40,40,40
2136,Cache Junction,UT,SCAN,40,40,40,40,40
2137,Nephi,UT,SCAN,40,40,40,40,40
2138,Alkali Mesa,UT,SCAN,40,40,40,40,40
2139,West Summit,UT,SCAN,40,40,40,40,40
2140,Mccracken Mesa,UT,SCAN,40,40,40,40,40
2150,Chicken Ridge,UT,SCAN,40,40,40,40,40
2151,Buffalo Jump,UT,SCAN,40,40,40,40,40
2152,Grantsville,UT,SCAN,40,40,40,40,40
2153,Park Valley,UT,SCAN,40,40,40,40,40
2154,Split Mountain,UT,SCAN,40,40,40,40,40
2155,Little Red Fox,UT,SCAN,40,40,40,40,40
2156,Manderfield,UT,SCAN,40,40,40,40,40
2157,Panguitch,UT,SCAN,40,40,40,40,40
2158,Spooky,UT,SCAN,40,40,40,40,40
2159,Sand Hollow,UT,SCAN,40,40,40,40,40
2160,Grouse Creek,UT,SCAN,40,40,40,40,40
2161,Cave Valley,UT,SCAN,40,40,40,40,40
2162,Vermillion,UT,SCAN,40,40,40,40,40
2163,Tule Valley,UT,SCAN,40,40,40,40,40
2164,Hals Canyon,UT,SCAN,40,40,40,40,40
2165,Goshute,UT,SCAN,40,40,40,40,40
2166,Harms Way,UT,SCAN,40,40,40,40,40
2167,Dugway,UT,SCAN,40,40,40,40,40
1236,Corral,UT,SNTL,40,40,40,40,40
1247,Takka Wiiya         ,UT,SNTL,40,40,40,40,40
1248,Suu Ranch,UT,SNTL,40,40,40,40,40
317,Battle Mountain,WY,SNTL,40,40,40,40,40
342,Big Sandy Opening,WY,SNTL,40,40,40,40,40
353,Blind Bull Sum,WY,SNTL,40,40,40,40,40
449,Divide Peak,WY,SNTL,40,40,40,40,40
468,Elkhart Park G.S.,WY,SNTL,40,40,40,40,40
509,Hams Fork,WY,SNTL,40,40,40,40,40
544,Indian Creek,WY,SNTL,40,40,40,40,40
554,Kelley R.S.,WY,SNTL,40,40,40,40,40
555,Kendall R.S.,WY,SNTL,40,40,40,40,40
1047,Little Snake River,WY,SNTL,40,40,40,40,40
597,Loomis Park,WY,SNTL,40,40,40,40,40
661,New Fork Lake,WY,SNTL,40,40,40,40,40
1133,Pocket Creek,WY,SNTL,40,40,40,40,40
732,Sandstone RS,WY,SNTL,40,40,40,40,40
765,Snider Basin,WY,SNTL,40,40,40,40,40
779,Spring Creek Divide,WY,SNTL,40,40,40,40,40
831,Triple Peak,WY,SNTL,40,40,40,40,40
859,Whiskey Park,WY,SNTL,40,40,40,40,40
20G23,Barley Camp AM,OR,SNTL,40,40,40,40,40
18G04A,Govt Corrals AM,OR,SNTL,40,40,40,40,40
17G04,Louse Canyon AM,OR,SNTL,40,40,40,40,40
18G11,Oregon Canyon AM,OR,SNTL,40,40,40,40,40
18G09,Pueblo Summit AM,OR,SNTL,40,40,40,40,40
18G05,Trout Creek AM,OR,SNTL,40,40,40,40,40
1198,American Beauty,NV,SNTL,40,40,40,40,40
15J17,American Beauty - Aerial Marker,NV,SNTL,40,40,40,40,40
14L01,Baker Creek #1,NV,SNTL,40,40,40,40,40
14L02,Baker Creek #2,NV,SNTL,40,40,40,40,40
14L03,Baker Creek #3,NV,SNTL,40,40,40,40,40
14L03A,Baker Creek #3 AM,NV,SNTL,40,40,40,40,40
19H01,Bald Mt.,NV,SNTL,40,40,40,40,40
1240,Bald Mtn AM         ,NV,SNTL,40,40,40,40,40
321,Bear Creek,NV,SNTL,40,40,40,40,40
334,Berry Creek,NV,SNTL,40,40,40,40,40
336,Big Bend,NV,SNTL,40,40,40,40,40
17K01,Big Creek Campground,NV,SNTL,40,40,40,40,40
17K02,Big Creek Mine,NV,SNTL,40,40,40,40,40
337,Big Creek Sum,NV,SNTL,40,40,40,40,40
340,Big Meadow,NV,SNTL,40,40,40,40,40
1155,Bird Creek,NV,SNTL,40,40,40,40,40
14K01,Bird Creek,NV,SNTL,40,40,40,40,40
1111,Bristlecone Trail,NV,SNTL,40,40,40,40,40
373,Buckskin Lower,NV,SNTL,40,40,40,40,40
1152,Cave Mountain       ,NV,SNTL,40,40,40,40,40
19K05,Clear Creek,NV,SNTL,40,40,40,40,40
1204,Columbia Basin      ,NV,SNTL,40,40,40,40,40
16H06,Columbia Basin - Aerial Marker,NV,SNTL,40,40,40,40,40
1209,Corduroy Flat       ,NV,SNTL,40,40,40,40,40
15L02,Corduroy Flat Aerial,NV,SNTL,40,40,40,40,40
417,Corral Canyon,NV,SNTL,40,40,40,40,40
1210,Defiance Mines      ,NV,SNTL,40,40,40,40,40
14K09,"Defiance Mines, Aerial Marker",NV,SNTL,40,40,40,40,40
443,Diamond Peak,NV,SNTL,40,40,40,40,40
445,Disaster Peak,NV,SNTL,40,40,40,40,40
453,Dorsey Basin,NV,SNTL,40,40,40,40,40
454,Draw Creek,NV,SNTL,40,40,40,40,40
1243,Dry Creek,NV,SNTL,40,40,40,40,40
15J03,Dry Creek,NV,SNTL,40,40,40,40,40
476,Fawn Creek,NV,SNTL,40,40,40,40,40
19H03,Forty Nine Mtn.,NV,SNTL,40,40,40,40,40
15H07,Fry Canyon,NV,SNTL,40,40,40,40,40
1262,Fry Canyon          ,NV,SNTL,40,40,40,40,40
19K06,Glenbrook #2,NV,SNTL,40,40,40,40,40
1195,Golconda,NV,SNTL,40,40,40,40,40
17J02,Golconda #2,NV,SNTL,40,40,40,40,40
15H05,Gold Creek,NV,SNTL,40,40,40,40,40
498,Granite Peak,NV,SNTL,40,40,40,40,40
503,Green Mountain,NV,SNTL,40,40,40,40,40
15J10,Harrison Pass #1,NV,SNTL,40,40,40,40,40
19H02,Hays Canyon,NV,SNTL,40,40,40,40,40
527,Hole-in-Mountain,NV,SNTL,40,40,40,40,40
548,Jack Creek Upper,NV,SNTL,40,40,40,40,40
16H01,"Jack Creek, Lower",NV,SNTL,40,40,40,40,40
549,Jacks Peak,NV,SNTL,40,40,40,40,40
1211,Jakes Creek         ,NV,SNTL,40,40,40,40,40
14H04,Jakes Creek - Aerial Marker,NV,SNTL,40,40,40,40,40
1150,Kalamazoo           ,NV,SNTL,40,40,40,40,40
14K08,Kalamazoo Creek,NV,SNTL,40,40,40,40,40
15N05,Kyle Canyon,NV,SNTL,40,40,40,40,40
569,Lamance Creek,NV,SNTL,40,40,40,40,40
15J04,Lamoille #1,NV,SNTL,40,40,40,40,40
570,Lamoille #3,NV,SNTL,40,40,40,40,40
15J08,Lamoille #5,NV,SNTL,40,40,40,40,40
573,Laurel Draw,NV,SNTL,40,40,40,40,40
1112,Lee Canyon,NV,SNTL,40,40,40,40,40
15N03,Lee Canyon #2,NV,SNTL,40,40,40,40,40
15N08,Lee Canyon #3,NV,SNTL,40,40,40,40,40
1006,Lewis Peak,NV,SNTL,40,40,40,40,40
19H04,Little Bally Mt. - Aerial Marker,NV,SNTL,40,40,40,40,40
1242,Little Valley,NV,SNTL,40,40,40,40,40
19K03,Little Valley,NV,SNTL,40,40,40,40,40
615,Marlette Lake,NV,SNTL,40,40,40,40,40
1207,Merritt Mountain    ,NV,SNTL,40,40,40,40,40
15H20,Merritt Mountain - Aerial Marker,NV,SNTL,40,40,40,40,40
16H03,Midas,NV,SNTL,40,40,40,40,40
1206,Midas               ,NV,SNTL,40,40,40,40,40
19K02,Mount Rose,NV,SNTL,40,40,40,40,40
652,Mt Rose Ski Area,NV,SNTL,40,40,40,40,40
14K03,Murray Summit,NV,SNTL,40,40,40,40,40
15H25,O'Neil Creek,NV,SNTL,40,40,40,40,40
1244,Pole Canyon,NV,SNTL,40,40,40,40,40
15J20,Pole Canyon #2,NV,SNTL,40,40,40,40,40
698,Pole Creek R.S.,NV,SNTL,40,40,40,40,40
17H06,Quinn Ridge AM,NV,SNTL,40,40,40,40,40
1110,Rainbow Canyon,NV,SNTL,40,40,40,40,40
15N07,Rainbow Canyon #2,NV,SNTL,40,40,40,40,40
1199,Robinson Lake,NV,SNTL,40,40,40,40,40
15J16,Robinson Lake - Aerial Marker,NV,SNTL,40,40,40,40,40
15K01,Robinson Summit,NV,SNTL,40,40,40,40,40
746,Seventysix Creek,NV,SNTL,40,40,40,40,40
750,Sheldon,NV,SNTL,40,40,40,40,40
14K07,Silver Creek #2,NV,SNTL,40,40,40,40,40
1205,Silver Creek Nv     ,NV,SNTL,40,40,40,40,40
15J19,Smith Creek,NV,SNTL,40,40,40,40,40
1235,Smith Creek         ,NV,SNTL,40,40,40,40,40
16H11,Snow Storm Mountain-Am,NV,SNTL,40,40,40,40,40
1208,Snowstorm Mtn       ,NV,SNTL,40,40,40,40,40
1203,Stag Mountain       ,NV,SNTL,40,40,40,40,40
15H19,Stag Mountain AM,NV,SNTL,40,40,40,40,40
1194,Summit Lk,NV,SNTL,40,40,40,40,40
811,Taylor Canyon,NV,SNTL,40,40,40,40,40
1202,Tent Mtn Lower      ,NV,SNTL,40,40,40,40,40
