BasinName,BasinSites,HUCS
UPPER GALLATIN,11D09;328;385;11D10;590;15B24;11E06,10020008
HYALITE,10D14;578;10D01;754,
BRIDGER,365;929,
GALLATIN MOUNTAIN,10D14;11D09;328;365;385;578;11D10;590;10D01;15B24;929;754;11E06,10020008
GALLATIN VALLEY,COOP0622;COOP1044,10020008
GALLATIN RIVER BASIN,10D14;11D09;328;365;385;578;11D10;590;10D01;15B24;929;754;11E06;COOP0622;COOP1044,10020008
HEADWATERS MAINSTEM,360;12C05;487;903;722;12C01;12C02;12C03;893,
SMITH,360;437;1106;10C07;1008;690;781;1009,10030103
HIGHWOOD,10B02;MPRCMB02;10B01;MPRCMB01,
JUDITH,09C05;427;919;437;10C11;781,10040103
MUSSELSHELL,919;10C13;1106;10C07;10C14;10C11;10C12;700,100402
SMTIH-JUDITH-MUSSELSHELL MOUNTAIN,09C05;360;427;919;437;10C13;1106;10C07;10C14;10C11;10C12;1008;690;700;781;1009,
SMITH-JUDITH-MUSSELSHELL VALLEY ,COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263,
SMITH-JUDITH-MUSSELSHELL,09C05;360;427;919;437;10C13;1106;10C07;10C14;10C11;10C12;1008;690;700;781;1009;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263,
SUN,12B06;12B07;649;876;12B04;12B03,10030104
TETON,458;12A01;649;847,10030205
MARIAS,307;458;12A01;13A05;693,100302
SUN-TETON-MARIAS MOUNTAIN,307;12B06;458;12A01;12B07;13A05;649;693;847;876;12B04;12B03,
SUN-TETON-MARIAS VALLEY ,COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101,
SUN-TETON-MARIAS,307;12B06;458;12A01;12B07;13A05;649;693;847;876;12B04;12B03;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101,
MAINSTEM ab FT PECK RES MOUNTAIN,307;09C05;360;12B06;12C05;427;919;437;458;10C13;1106;10C07;10C14;12A01;487;12B07;10C11;10B02;MPRCMB02;10B01;MPRCMB01;10C12;13A05;649;903;1008;690;693;700;722;781;12C01;1009;12C02;12C03;893;847;876;12B04;12B03,
MAINSTEM ab FORT PECK RES VALLEY,COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103,
MAINSTEM ab FT PECK RES,307;09C05;360;12B06;12C05;427;919;437;458;10C13;1106;10C07;10C14;12A01;487;12B07;10C11;10B02;MPRCMB02;10B01;MPRCMB01;10C12;13A05;649;903;1008;690;693;700;722;781;12C01;1009;12C02;12C03;893;847;876;12B04;12B03;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103,
