BasinName,BasinSites,HUCS
MISSOURI RIVER BASIN MOUNTAIN,916;10D14;307;313;315;318;11D09;328;09C05;347;355;360;09A08;MPRCTU08;365;12D08;12B06;381;385;12C05;403;12C09;427;13E22;919;436;437;448;458;10C13;13D15;1106;10C07;12D10;13D21;12D07;10C14;11D12;12A01;487;13D02;12B07;10Z04;10Z05;10C11;11E05;COOP4038;10B02;MPRCMB02;10B01;MPRCMB01;10C12;11E04;568;576;578;11D10;590;603;609;13A05;10Z06;10Z07;638;12C20;649;13D25;656;10D01;10E19;10E18;1008;690;12D01;700;11E21;15B24;722;917;10Z08;10Z09;929;753;754;781;12C01;13C07;1009;09A07;MPRCTU07;12C02;12C03;813;893;11E06;847;924;858;860;876;12B04;12B03,1303020126
MISSOURI RIVER BASIN VALLEY,COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415,1303020126
MISSOURI RIVER BASIN,916;10D14;307;313;315;318;11D09;328;09C05;347;355;360;09A08;MPRCTU08;365;12D08;12B06;381;385;12C05;403;12C09;427;13E22;919;436;437;448;458;10C13;13D15;1106;10C07;12D10;13D21;12D07;10C14;11D12;12A01;487;13D02;12B07;10Z04;10Z05;10C11;11E05;COOP4038;10B02;MPRCMB02;10B01;MPRCMB01;10C12;11E04;568;576;578;11D10;590;603;609;13A05;10Z06;10Z07;638;12C20;649;13D25;656;10D01;10E19;10E18;1008;690;12D01;700;11E21;15B24;722;917;10Z08;10Z09;929;753;754;781;12C01;13C07;1009;09A07;MPRCTU07;12C02;12C03;813;893;11E06;847;924;858;860;876;12B04;12B03;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415,
YELLOWSTONE RIVER BASIN MOUNTAIN,309;325;326;931;350;08G02;358;09D14;363;365;377;981;379;09D01;384;1130;09F20;402;405;407;10D05;923;451;09F06;10C13;1105;472;480;09F07;08G04;501;512;525;560;10E04;1131;585;10E01;616;07E24;08G06;625;635;10E19;07E15;670;07E27;676;683;696;700;703;07E04;15B24;725;929;07E38;751;09F15;754;1132;07E05;06E01;775;786;798;806;807;09F03;816;818;819;09D04;822;10F09;826;837;07E35;862;09D17;875;07E13;878,1303020126
YELLOWSTONE RIVER BASIN VALLEY,COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957;COOP3378;COOP9905;COOP9025;COOP5345;COOP1775;COOP2415;COOP7388;COOP5770;COOP1840;COOP1175;COOP3031;COOP4080;COOP8124;COOP0540;COOP8758;COOP9785;COOP8852;COOP0778;COOP8875;COOP2715;COOP1000;COOP1284;COOP2595;COOP7115;COOP8209;COOP7760;COOP5390;COOP7376;COOP6195;COOP5055;COOP0740;COOP1165;COOP1816;COOP8626;COOP0680;COOP8155;COOP2399;COOP8160;COOP5506,1303020126
YELLOWSTONE RIVER BASIN,309;325;326;931;350;08G02;358;09D14;363;365;377;981;379;09D01;384;1130;09F20;402;405;407;10D05;923;451;09F06;10C13;1105;472;480;09F07;08G04;501;512;525;560;10E04;1131;585;10E01;616;07E24;08G06;625;635;10E19;07E15;670;07E27;676;683;696;700;703;07E04;15B24;725;929;07E38;751;09F15;754;1132;07E05;06E01;775;786;798;806;807;09F03;816;818;819;09D04;822;10F09;826;837;07E35;862;09D17;875;07E13;878;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957;COOP3378;COOP9905;COOP9025;COOP5345;COOP1775;COOP2415;COOP7388;COOP5770;COOP1840;COOP1175;COOP3031;COOP4080;COOP8124;COOP0540;COOP8758;COOP9785;COOP8852;COOP0778;COOP8875;COOP2715;COOP1000;COOP1284;COOP2595;COOP7115;COOP8209;COOP7760;COOP5390;COOP7376;COOP6195;COOP5055;COOP0740;COOP1165;COOP1816;COOP8626;COOP0680;COOP8155;COOP2399;COOP8160;COOP5506,
EAST OF DIVIDE MOUNTAIN,916;10D14;307;309;313;315;318;11D09;325;326;328;931;09C05;347;350;355;08G02;358;09D14;360;363;09A08;MPRCTU08;365;12D08;377;981;379;12B06;381;09D01;384;385;1130;09F20;12C05;402;403;405;407;12C09;10D05;427;13E22;919;436;437;923;448;451;09F06;458;10C13;1105;13D15;1106;10C07;472;12D10;480;482;12D07;10C14;11D12;12A01;487;09F07;13D02;12B07;08G04;501;10Z04;10Z05;512;10C11;11E05;COOP4038;10B02;MPRCMB02;10B01;MPRCMB01;525;13A03;13E28;10C12;13A14;560;10E04;11E04;568;576;578;1131;11D10;585;590;603;10E01;609;613;13A05;616;07E24;08G06;625;13A16;10Z06;10Z07;635;638;12C20;13A07;649;13D25;656;10D01;10E19;07E15;670;10E18;07E27;1008;676;683;690;13A06;693;12D01;696;700;700;11E21;703;13A08;07E04;15B24;722;917;10Z08;10Z09;725;929;07E38;751;09F15;753;754;1132;07E05;06E01;775;781;786;12C01;13C07;1009;798;806;807;09A07;MPRCTU07;09F03;12C02;12C03;813;816;818;819;09D04;893;822;10F09;826;11E06;837;07E35;847;924;858;860;862;09D17;875;876;07E13;12B04;12B03;878,
EAST OF DIVIDE VALLEY,COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957,
EAST OF DIVIDE,916;10D14;307;309;313;315;318;11D09;325;326;328;931;09C05;347;350;355;08G02;358;09D14;360;363;09A08;MPRCTU08;365;12D08;377;981;379;12B06;381;09D01;384;385;1130;09F20;12C05;402;403;405;407;12C09;10D05;427;13E22;919;436;437;923;448;451;09F06;458;10C13;1105;13D15;1106;10C07;472;12D10;480;482;12D07;10C14;11D12;12A01;487;09F07;13D02;12B07;08G04;501;10Z04;10Z05;512;10C11;11E05;COOP4038;10B02;MPRCMB02;10B01;MPRCMB01;525;13A03;13E28;10C12;13A14;560;10E04;11E04;568;576;578;1131;11D10;585;590;603;10E01;609;613;13A05;616;07E24;08G06;625;13A16;10Z06;10Z07;635;638;12C20;13A07;649;13D25;656;10D01;10E19;07E15;670;10E18;07E27;1008;676;683;690;13A06;693;12D01;696;700;700;11E21;703;13A08;07E04;15B24;722;917;10Z08;10Z09;725;929;07E38;751;09F15;753;754;1132;07E05;06E01;775;781;786;12C01;13C07;1009;798;806;807;09A07;MPRCTU07;09F03;12C02;12C03;813;816;818;819;09D04;893;822;10F09;826;11E06;837;07E35;847;924;858;860;862;09D17;875;876;07E13;12B04;12B03;878;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957,
MONTANA MOUNTAIN,916;13C16;10D14;1165;14A19;307;311;15B11;15B16;15B15;313;315;1190;14B03;318;11D09;323;326;328;09C05;346;347;12C19;349;14B04;1144;355;09D14;360;363;09A08;MPRCTU08;365;15A10;14A13;12D08;981;12B06;381;09D01;384;385;12C05;15B22;14A15;403;407;410;413;414;12C09;12C17;13B10;10D05;427;13E22;919;433;436;437;13A02;13C42;448;12C15;MPRCML15;458;10C13;1105;13C09;13D15;1106;10C07;469;13B04;12D10;480;482;12D07;13D21;10C14;11D12;12A01;487;918;13D02;12B07;15B23;500;14A09;510;516;10C11;11E05;COOP4038;14A03;14A16;10B02;MPRCMB02;10B01;MPRCMB01;13B13;530;535;13E28;10C12;14A06;562;10E04;11E04;568;576;578;11D10;14A05;588;590;594;603;604;13C21;13C22;13C08;13C37;10E01;609;613;13A05;13A16;635;646;12C20;13A07;649;13D25;656;657;903;10D01;662;664;10E19;667;670;1008;12C16;683;930;690;693;12D01;696;932;700;11E21;14B06;15B24;722;917;15B05;725;929;727;753;754;760;783;13C02;13B02;781;787;12C01;13C07;1009;14A17;901;09A07;MPRCTU07;12C02;12C03;813;09D04;893;13B01;14A18;835;11E06;836;13B05;847;850;14A07;924;858;860;862;875;876;12B04;12B03;878,
MONTANA VALLEY,COOP2827;COOP5015;COOP5020;COOP0755;COOP4558;COOP6640;COOP8902;COOP1318;COOP6472;COOP7448;COOP2221;COOP3885;COOP7894;COOP4084;COOP5745;COOP8043;COOP8211;COOP8380;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957,
MONTANA,916;13C16;10D14;1165;14A19;307;311;15B11;15B16;15B15;313;315;1190;14B03;318;11D09;323;326;328;09C05;346;347;12C19;349;14B04;1144;355;09D14;360;363;09A08;MPRCTU08;365;15A10;14A13;12D08;981;12B06;381;09D01;384;385;12C05;15B22;14A15;403;407;410;413;414;12C09;12C17;13B10;10D05;427;13E22;919;433;436;437;13A02;13C42;448;12C15;MPRCML15;458;10C13;1105;13C09;13D15;1106;10C07;469;13B04;12D10;480;482;12D07;13D21;10C14;11D12;12A01;487;918;13D02;12B07;15B23;500;14A09;510;516;10C11;11E05;COOP4038;14A03;14A16;10B02;MPRCMB02;10B01;MPRCMB01;13B13;530;535;13E28;10C12;14A06;562;10E04;11E04;568;576;578;11D10;14A05;588;590;594;603;604;13C21;13C22;13C08;13C37;10E01;609;613;13A05;13A16;635;646;12C20;13A07;649;13D25;656;657;903;10D01;662;664;10E19;667;670;1008;12C16;683;930;690;693;12D01;696;932;700;11E21;14B06;15B24;722;917;15B05;725;929;727;753;754;760;783;13C02;13B02;781;787;12C01;13C07;1009;14A17;901;09A07;MPRCTU07;12C02;12C03;813;09D04;893;13B01;14A18;835;11E06;836;13B05;847;850;14A07;924;858;860;862;875;876;12B04;12B03;878;COOP2827;COOP5015;COOP5020;COOP0755;COOP4558;COOP6640;COOP8902;COOP1318;COOP6472;COOP7448;COOP2221;COOP3885;COOP7894;COOP4084;COOP5745;COOP8043;COOP8211;COOP8380;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044;COOP4954;COOP6008;COOP2347;COOP4978;COOP4985;COOP5761;COOP7864;COOP3727;COOP3939;COOP4538;COOP4545;COOP5596;COOP5872;COOP7214;COOP7263;COOP2857;COOP3489;COOP1737;COOP1692;COOP1974;COOP2173;COOP2629;COOP2820;COOP3617;COOP7978;COOP8101;COOP1088;COOP1231;COOP1552;COOP1557;COOP1758;COOP1875;COOP1984;COOP2122;COOP3113;COOP3751;COOP4055;COOP4241;COOP4522;COOP5153;COOP5572;COOP6586;COOP6893;COOP7425;COOP7540;COOP8324;COOP8363;COOP8569;COOP8777;COOP9103;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957,
