BasinName,BasinSites,HUCS
SALT RIVER BASIN,310;902;09R11;416;1271;09S07;09R05;511;617;09S04;1127;866;877,1506
VERDE RIVER BASIN,308;11R07;1140;1212;12P01;1139;COOP3010;11P02;1121;488;969;11R05;640;11R12;1125;11P05;861;12P03,150602
SAN FRANCISCO PEAKS,11P06;927,13040209
SAN FRANCISCO-UPPER GILA RIVER BASIN,902;416;09S07;486;511;08S09;595;09S04;1127;755;757;09S08;08S10,
LITTLE COLORADO RIVER BASIN,308;11R07;1140;310;09R11;09R07;COOP3010;09R05;519;11P12;617;705,1502
CENTRAL MOGOLLON RIM,308;11R07;1140;519;705,
CHUSKA MOUNTAINS,09N05;1143;08N04;08N05;08N06;09N02;09N04;08N03;1138,
DEFIANCE PLATEAU,09P01,
NORTHWESTERN ARIZONA,12N01;11P01;COOP1001;COOP3581,
